읍면동,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구,관리기관명,관리부서명,부서전화번호,데이터기준일자
삼랑진읍,6227,3127,3100,6.15,3.09,3.06,100.87,3579,1.74,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
하남읍,6671,3348,3323,6.6,3.31,3.29,100.75,3742,1.78,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
부북면,5175,2709,2466,5.12,2.68,2.44,109.85,3083,1.68,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
상동면,3066,1472,1594,3.03,1.46,1.58,92.35,1930,1.59,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
산외면,2770,1418,1352,2.74,1.4,1.34,104.88,1658,1.67,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
산내면,3699,1905,1794,3.66,1.88,1.77,106.19,2174,1.7,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
단장면,4255,2114,2141,4.21,2.09,2.12,98.74,2665,1.6,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
상남면,7728,3871,3857,7.64,3.83,3.81,100.36,4098,1.89,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
초동면,3302,1656,1646,3.26,1.64,1.63,100.61,2011,1.64,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
무안면,4706,2363,2343,4.65,2.34,2.32,100.85,2701,1.74,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
청도면,1706,850,856,1.698,0.84,0.85,99.3,1114,1.53,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
내일동,2518,1236,1282,2.49,1.22,1.27,96.41,1431,1.76,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
내이동,17295,8653,8642,17.1,8.56,8.54,100.13,8695,1.99,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
교동,5337,2581,2756,5.28,2.55,2.72,93.65,2712,1.97,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
삼문동,19220,9182,10038,19,9.08,9.92,91.47,8308,2.31,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
가곡동,7470,3505,3965,7.39,3.47,3.92,88.4,4145,1.8,경상남도 밀양시청,기획감사담당관,055-359-5044,2024-07-31
